iter	RMSE
0	0.9712108014
1	0.9465178214
2	0.9261705718
3	0.9081623311
4	0.8929956143
5	0.879915124
6	0.8679445473
7	0.85779445
8	0.8483098461
9	0.8407923831
10	0.833490738
11	0.8270353987
12	0.821277659
13	0.8159092816
14	0.8113851187
15	0.8066890652
16	0.8028898677
17	0.799516456
18	0.7961874895
19	0.7932691954
20	0.7907870862
21	0.7881324796
22	0.7853854282
23	0.7828370403
24	0.7789371356
25	0.7767590722
26	0.7744513463
27	0.7724477768
28	0.7705893364
29	0.7685823781
30	0.7668310394
31	0.7653250522
32	0.7629910703
33	0.7615998166
34	0.7591473044
35	0.7572435695
36	0.7556605492
37	0.7541330955
38	0.7525162034
39	0.7508287435
40	0.7491676007
41	0.7477698927
42	0.7465845522
43	0.7455387829
44	0.7440239185
45	0.7430705762
46	0.741405765
47	0.7404708188
48	0.7391167049
49	0.73802126
50	0.7369377922
51	0.7360787968
52	0.7351581728
53	0.7337862965
54	0.7326761396
55	0.7320219415
56	0.7309184659
57	0.72980759
58	0.729015915
59	0.7283798111
60	0.7270191304
61	0.7264395645
62	0.7258299325
63	0.7250025256
64	0.7241304121
65	0.7228703874
66	0.7218615622
67	0.7208301328
68	0.7197743053
69	0.7191586117
70	0.7185070074
71	0.7176592671
72	0.716734378
73	0.7163591684
74	0.7154987789
75	0.7147156804
76	0.7140637027
77	0.7134232598
78	0.7123530463
79	0.7119247202
80	0.71120404
81	0.7105802251
82	0.7085354046
83	0.7080574851
84	0.7072801028
85	0.7066125625
86	0.7057975322
87	0.7052832117
88	0.7047997601
89	0.7042873156
90	0.7037953329
91	0.7032390239
92	0.7027690905
93	0.7023522639
94	0.7019045758
95	0.701525824
96	0.701064886
97	0.7004979528
98	0.6998492371
99	0.6992067778
100	0.6984975067
101	0.6977317802
102	0.6972701934
103	0.6967483963
104	0.6963425653
105	0.6958126246
106	0.69515899
107	0.6947929181
108	0.6941599231
109	0.693786056
110	0.6930296442
111	0.6923773305
112	0.6911466097
113	0.6906297559
114	0.6903443566
115	0.6897716584
116	0.6893468648
117	0.6887333792
118	0.6879876259
119	0.6876188505
120	0.6870711567
121	0.6866873769
122	0.6861672305
123	0.685688748
124	0.6853093443
125	0.6843444851
126	0.6839291698
127	0.6835103173
128	0.6831280154
129	0.6826193413
130	0.6822900288
131	0.6815237662
132	0.6811388033
133	0.680677763
134	0.6802968534
135	0.6795551993
136	0.6792131856
137	0.6788919976
138	0.678545592
139	0.6781440651
140	0.6776962821
141	0.6768551355
142	0.6762103178
143	0.6756395116
144	0.6753870899
145	0.6750994233
146	0.6746840867
147	0.6739553027
148	0.673455273
149	0.6730056399
150	0.6725061516
151	0.6721246164
152	0.6719097408
153	0.6713538969
154	0.670752025
155	0.6702045987
156	0.6699483474
157	0.6696142876
158	0.6691596026
159	0.6688569195
160	0.6683958255
161	0.6681926822
162	0.6678628038
163	0.6673924743
164	0.667003676
165	0.6666959467
166	0.6663099433
167	0.6656466028
168	0.6652538661
169	0.6649795616
170	0.6647615374
171	0.6643995175
172	0.6640372616
173	0.6637162881
174	0.663250244
175	0.6628795251
176	0.6623036638
177	0.6619944685
178	0.6616077002
179	0.6611918989
180	0.6609283677
181	0.6603734324
182	0.6598974977
183	0.6596129624
184	0.6590660137
185	0.6587681648
186	0.658553722
187	0.6581281487
188	0.6576809387
189	0.6574686258
190	0.6571022028
191	0.6568065643
192	0.6565734485
193	0.6561894599
194	0.6556816898
195	0.6552139781
196	0.6549000091
197	0.6545186469
198	0.6538563613
199	0.6536332907
200	0.653068104
201	0.6525375087
202	0.6522391779
203	0.6519574799
204	0.6514587985
205	0.6512011916
206	0.650832183
207	0.6504563483
208	0.6501029106
209	0.6498209132
210	0.64946795
211	0.649266368
212	0.648991427
213	0.6487050653
214	0.6485043594
215	0.6481533367
216	0.6476959535
217	0.6475063964
218	0.6473242804
219	0.6470073119
220	0.6467486345
221	0.646560519
222	0.6462933415
223	0.6459627606
224	0.6456951859
225	0.6452462266
226	0.6449989451
227	0.6447407172
228	0.6445142766
229	0.6443085866
230	0.6440405977
231	0.6438209059
232	0.6436349496
233	0.643351891
234	0.6430451445
235	0.6425647538
236	0.642253438
237	0.6419738487
238	0.6417728869
239	0.6411751273
240	0.6406770754
241	0.6403502133
242	0.6401560613
243	0.6400008854
244	0.6397309134
245	0.6394257446
246	0.6392724421
247	0.6390492275
248	0.6387908235
249	0.6385496973
250	0.6383549386
251	0.6381597283
252	0.6379411208
253	0.6376311617
254	0.6374281474
255	0.637102336
256	0.6368098108
257	0.6364358064
258	0.636238813
259	0.6358765026
260	0.6355244205
261	0.6353112202
262	0.6350895184
263	0.6348982434
264	0.6344652515
265	0.6342270863
266	0.6338972865
267	0.6337082427
268	0.6334337474
269	0.6329571782
270	0.6326908462
271	0.6324072464
272	0.632181104
273	0.6318785611
274	0.6315244009
275	0.6312430407
276	0.6309507481
277	0.6307626739
278	0.6304250283
279	0.6300786039
280	0.6298841045
281	0.6295383775
282	0.629126892
283	0.6289698502
284	0.6285792711
285	0.6283719751
286	0.6281496659
287	0.6278949169
288	0.6277165012
289	0.6274983358
290	0.6271735337
291	0.6269560722
292	0.6266459569
293	0.6263592072
294	0.6262084118
295	0.6258447951
296	0.6255389265
297	0.6253888076
298	0.6251388334
299	0.6247739817
300	0.6244126073
301	0.6241171486
302	0.6239310977
303	0.6237566034
304	0.6235896365
305	0.6233915446
306	0.6230074436
307	0.6226555416
308	0.6225106928
309	0.6223951259
310	0.6221269915
311	0.6219488503
312	0.6216600591
313	0.6214133577
314	0.6211877754
315	0.6209112615
316	0.6206755552
317	0.6204032318
318	0.6202602255
319	0.6198719767
320	0.6195733135
321	0.6193062315
322	0.6191255088
323	0.6189758877
324	0.618766492
325	0.6185254319
326	0.6183487243
327	0.6181217678
328	0.6178099129
329	0.6176272043
330	0.6175086119
331	0.6173257868
332	0.6171307032
333	0.6169605542
334	0.6167910297
335	0.6164613321
336	0.6163022292
337	0.6160718339
338	0.6158355474
339	0.6156952495
340	0.6155055715
341	0.6152579994
342	0.6151190856
343	0.6149809499
344	0.6147547915
345	0.6144628668
346	0.6143199302
347	0.6141577437
348	0.6139963361
349	0.6137779517
350	0.6135690262
351	0.6134335302
352	0.6132041662
353	0.613027427
354	0.6129072621
355	0.6127509079
356	0.6125511067
357	0.6123807366
358	0.612161822
359	0.6120109134
360	0.6118475016
361	0.6115607679
362	0.6113066195
363	0.6111518565
364	0.6108462656
