iter	Passed	Remaining
0	21	21147
1	41	20645
2	63	20982
3	81	20312
4	98	19577
5	115	19166
6	132	18840
7	149	18554
8	165	18225
9	180	17915
10	196	17626
11	210	17357
12	225	17139
13	240	16930
14	255	16752
15	269	16588
16	284	16443
17	299	16337
18	313	16204
19	327	16061
20	342	15962
21	357	15900
22	373	15884
23	389	15852
24	405	15833
25	421	15781
26	436	15721
27	452	15697
28	466	15617
29	480	15531
30	495	15475
31	510	15434
32	525	15395
33	540	15359
34	555	15323
35	576	15436
36	593	15449
37	611	15485
38	629	15520
39	644	15478
40	659	15430
41	676	15433
42	691	15391
43	707	15368
44	723	15351
45	738	15310
46	753	15268
47	766	15206
48	781	15176
49	796	15140
50	810	15084
51	825	15046
52	840	15014
53	855	14989
54	870	14955
55	886	14939
56	901	14917
57	916	14892
58	931	14851
59	947	14842
60	963	14825
61	979	14813
62	992	14767
63	1007	14737
64	1021	14692
65	1036	14664
66	1050	14631
67	1065	14607
68	1080	14573
69	1094	14542
70	1108	14502
71	1121	14454
72	1136	14427
73	1150	14396
74	1164	14363
75	1179	14335
76	1194	14314
77	1209	14296
78	1224	14271
79	1239	14258
80	1254	14236
81	1270	14227
82	1284	14195
83	1300	14176
84	1315	14158
85	1331	14150
86	1345	14117
87	1359	14088
88	1376	14092
89	1393	14090
90	1410	14091
91	1426	14080
92	1443	14078
93	1459	14065
94	1474	14042
95	1488	14020
96	1503	13998
97	1517	13967
98	1531	13941
99	1545	13908
100	1559	13877
101	1572	13846
102	1595	13891
103	1610	13871
104	1625	13853
105	1639	13824
106	1653	13800
107	1667	13773
108	1681	13747
109	1695	13716
110	1708	13679
111	1722	13660
112	1736	13631
113	1749	13598
114	1763	13574
115	1776	13541
116	1791	13518
117	1806	13501
118	1820	13480
119	1835	13459
120	1850	13439
121	1863	13411
122	1877	13388
123	1892	13370
124	1906	13348
125	1919	13315
126	1933	13293
127	1948	13273
128	1962	13248
129	1976	13229
130	1990	13205
131	2005	13190
132	2020	13168
133	2034	13146
134	2048	13127
135	2063	13109
136	2079	13096
137	2095	13088
138	2111	13080
139	2128	13075
140	2144	13067
141	2160	13052
142	2173	13027
143	2187	13003
144	2201	12981
145	2214	12951
146	2228	12930
147	2241	12901
148	2255	12881
149	2269	12858
150	2283	12837
151	2298	12822
152	2311	12799
153	2326	12782
154	2341	12764
155	2356	12748
156	2374	12747
157	2390	12738
158	2405	12722
159	2421	12714
160	2436	12697
161	2450	12675
162	2463	12648
163	2477	12631
164	2491	12609
165	2505	12588
166	2520	12572
167	2536	12559
168	2551	12545
169	2567	12533
170	2579	12507
171	2593	12487
172	2608	12469
173	2623	12455
174	2638	12439
175	2654	12427
176	2667	12405
177	2684	12397
178	2697	12370
179	2710	12348
180	2724	12328
181	2737	12302
182	2750	12279
183	2765	12264
184	2778	12241
185	2794	12229
186	2809	12216
187	2826	12207
188	2842	12196
189	2859	12189
190	2877	12187
191	2893	12175
192	2909	12167
193	2926	12156
194	2941	12142
195	2957	12131
196	2973	12120
197	2987	12102
198	3001	12081
199	3013	12055
200	3028	12038
201	3041	12014
202	3056	12001
203	3077	12009
204	3091	11987
205	3106	11974
206	3121	11956
207	3136	11943
208	3153	11933
209	3170	11928
210	3184	11907
211	3201	11899
212	3216	11884
213	3230	11864
214	3241	11836
215	3256	11820
216	3269	11797
217	3283	11778
218	3296	11755
219	3310	11736
220	3324	11719
221	3336	11694
222	3350	11673
223	3364	11654
224	3379	11642
225	3393	11623
226	3409	11611
227	3425	11599
228	3443	11594
229	3460	11586
230	3478	11581
231	3496	11574
232	3513	11565
233	3530	11557
234	3545	11543
235	3564	11537
236	3580	11528
237	3595	11513
